nomor_laporan,tanggal_kejadian,tanggal_laporan,jenis_kejahatan,sub_jenis,modus_operandi,platform,provinsi,kota_kabupaten,latitude,longitude,usia_korban,jenis_kelamin_korban,pekerjaan_korban,pendidikan_korban,estimasi_kerugian,jumlah_korban,tingkat_keparahan,status_kasus,tersangka_teridentifikasi,sumber_data,keterangan
LP/2019/0001/SBR,2019-05-08,2019-05-15,Konten Asusila,Sextortion,Pemerasan,Instagram,DKI Jakarta,,-6.199751,106.798778,22,L,Profesional,SD,1170528,3,sedang,dalam_penyelidikan,0,Kerjasama Antar Lembaga,
LP/2019/0002/SBR,2019-10-09,2019-11-03,Akses Ilegal,SQL Injection,Exploit Vulnerability,Facebook,Jawa Barat,,-6.943169,107.636149,23,L,Wiraswasta,S2,5872248,3,tinggi,selesai,0,Laporan Masyarakat,
LP/2019/0003/SBR,2019-07-03,2019-07-20,Pencemaran Nama,Fitnah,Akun Anonim,WhatsApp,Banten,,-6.103674,106.177607,22,P,Wiraswasta,S3,614839,2,rendah,dalam_penyelidikan,0,Aduan BSSN,
LP/2019/0004/SBR,2019-11-09,2019-12-01,Penipuan Online,Jual-Beli Fiktif,Telepon Penipuan,Telegram,Jawa Timur,,-7.29116,112.740046,57,P,Mahasiswa,S2,46372107,2,sedang,selesai,0,Patroli Siber,
LP/2019/0005/SBR,2019-07-09,2019-07-11,Hoaks/Disinformasi,Hoaks Kesehatan,Forward Massal,Telepon,Riau,,0.507023,101.486268,58,L,Pelajar,SMA,221231,73,sedang,baru,0,Aduan BSSN,
LP/2019/0006/SBR,2019-10-13,2019-10-24,Judi Online,Slot Online,Aplikasi Pihak Ketiga,Instagram,Jawa Tengah,,-7.001416,110.382698,60,L,Wiraswasta,S3,8359183,1,rendah,dalam_penyelidikan,0,Inisiatif Polri,
LP/2019/0007/SBR,2019-01-22,2019-02-14,Penipuan Online,Penipuan Pinjol Ilegal,Phishing,Email,Banten,,-6.126323,106.145672,63,P,Pelajar,SMA,8187437,5,sedang,dalam_penyelidikan,1,Kerjasama Antar Lembaga,
LP/2019/0008/SBR,2019-10-07,2019-10-11,Penipuan Online,Investasi Bodong,Telepon Penipuan,Website,Sulawesi Selatan,,-5.148839,119.393887,40,P,Pelajar,D3,25592933,3,sedang,baru,0,Laporan Masyarakat,
LP/2019/0009/SBR,2019-02-25,2019-03-14,Penipuan Online,Jual-Beli Fiktif,Fake Marketplace,Marketplace,Jawa Tengah,,-6.929457,110.409014,30,P,Mahasiswa,S1,8939645,3,sedang,dalam_penyelidikan,0,Aduan BSSN,
LP/2019/0010/SBR,2019-02-08,2019-02-15,Pencurian Data,Data Pemerintah,Phishing,SMS,Banten,,-6.147778,106.107399,57,L,Wiraswasta,SD,27186821,22,sedang,selesai,1,Patroli Siber,
LP/2019/0011/SBR,2019-09-05,2019-09-28,Penipuan Online,Skema Ponzi,Modus Skema Ponzi,Telegram,Jawa Tengah,,-7.007267,110.432598,39,L,Buruh,SD,38822053,8,rendah,p21,0,Laporan Masyarakat,
LP/2019/0012/SBR,2019-02-08,2019-02-14,Penipuan Online,Jual-Beli Fiktif,Fake Marketplace,Twitter/X,Sumatera Selatan,,-3.015919,104.799027,45,P,Profesional,SMP,13264703,8,rendah,baru,0,Laporan Masyarakat,
LP/2019/0013/SBR,2019-04-06,2019-04-19,Pemerasan Siber,Sextortion Bisnis,Ransomware,Facebook,Kalimantan Selatan,,-3.331503,114.639331,33,P,Buruh,S1,310726594,4,tinggi,dalam_penyelidikan,0,Inisiatif Polri,
LP/2019/0014/SBR,2019-04-10,2019-04-16,Pencemaran Nama,Doxing,Akun Anonim,SMS,Jawa Tengah,,-6.969021,110.458639,50,L,Profesional,SMP,122648,1,sedang,selesai,1,Laporan Masyarakat,
LP/2019/0015/SBR,2019-02-19,2019-02-26,Pencemaran Nama,Hate Speech,Manipulasi Foto,SMS,Jawa Barat,,-6.908177,107.591437,33,L,IRT,D3,1214081,1,rendah,dalam_penyelidikan,1,Kerjasama Antar Lembaga,
LP/2019/0016/SBR,2019-02-01,2019-02-15,Penipuan Online,Jual-Beli Fiktif,Telepon Penipuan,Email,Jawa Barat,,-6.951454,107.594701,21,P,IRT,S1,42185291,2,rendah,baru,0,Kerjasama Antar Lembaga,
LP/2019/0017/SBR,2019-11-17,2019-11-17,Penipuan Online,Investasi Bodong,Social Engineering,Email,Nusa Tenggara Barat,,-8.621757,116.077404,52,L,Pelajar,D3,45319540,5,tinggi,p21,1,Kerjasama Antar Lembaga,
LP/2019/0018/SBR,2019-05-28,2019-05-29,Hoaks/Disinformasi,Hoaks Kesehatan,Forward Massal,WhatsApp,Jawa Tengah,,-6.983344,110.379782,33,L,Buruh,S3,96781,82,rendah,dalam_penyelidikan,1,Kerjasama Antar Lembaga,
LP/2019/0019/SBR,2019-06-19,2019-07-06,Peretasan Akun,Sim Swap,Social Engineering,WhatsApp,Banten,,-6.079908,106.121308,32,P,IRT,S3,5969202,2,sedang,dihentikan,0,Patroli Siber,
LP/2019/0020/SBR,2019-03-14,2019-03-14,Hoaks/Disinformasi,Hoaks Kesehatan,Manipulasi Foto,Telegram,Nusa Tenggara Barat,,-8.606619,116.145437,23,L,Karyawan Swasta,TD,188073,95,sedang,baru,0,Aduan Konten Kominfo,
LP/2019/0021/SBR,2019-04-08,2019-04-08,Penipuan Online,Penipuan Pinjol Ilegal,Phishing,Email,Riau,,0.492215,101.448741,60,TD,Profesional,S2,44794077,4,sedang,dihentikan,1,Aduan BSSN,
LP/2019/0022/SBR,2019-05-02,2019-05-05,Penipuan Online,Penipuan Pinjol Ilegal,Modus Skema Ponzi,SMS,Sulawesi Utara,,1.523224,124.803665,53,L,Karyawan Swasta,S3,40535219,7,sedang,baru,0,Inisiatif Polri,
LP/2019/0023/SBR,2019-12-22,2019-12-28,Pencemaran Nama,Fitnah,Bot Spam,SMS,Kalimantan Selatan,,-3.338008,114.625602,63,P,Profesional,S1,763827,2,rendah,p21,1,Kerjasama Antar Lembaga,
LP/2019/0024/SBR,2019-07-22,2019-08-21,Penipuan Online,Penipuan Pinjol Ilegal,Modus Skema Ponzi,Marketplace,DKI Jakarta,,-6.175427,106.825987,30,L,Pensiunan,S2,25944008,3,sedang,dalam_penyelidikan,0,Patroli Siber,
LP/2019/0025/SBR,2019-12-06,2019-12-27,Akses Ilegal,SQL Injection,Brute Force,Telegram,Daerah Istimewa Yogyakarta,,-7.77992,110.341264,29,L,Karyawan Swasta,D3,16381064,5,sedang,dihentikan,0,Laporan Masyarakat,
LP/2019/0026/SBR,2019-10-07,2019-10-29,Pencurian Data,Data Pribadi,Phishing,Telepon,Lampung,,-5.431238,105.305966,23,P,Mahasiswa,SMA,196926170,25,tinggi,selesai,0,Aduan Konten Kominfo,
